road,id,model_type,condition,name,lat,lon,length
N1,1002370,bridge,A,KHANGOR PRAMARY (2),21.0864997,92.2151111,1.2
N1,1002371,link,,Box culvert,21.0864997,92.2151111,67.40000000002055
N1,1002372,link,,Box culvert,21.0859441,92.2153889,178.99999999997362
N1,1002373,bridge,B,KHAN GOR PARA BRIDGE,21.0844125039525,92.2159198454545,14.0
N1,1002374,bridge,A,Khan Gor Para Bridge,21.0844125039525,92.2159198454545,14.0
N1,1002375,link,,Box culvert,21.0859441,92.2153889,60.000000000002274
N1,1002376,link,,Box culvert / Box culvert,21.0838608,92.2161111,195.3999999999496
N1,1002377,bridge,A,RHANCHOR PARA BOX CULVERT,21.0822419459459,92.2166012177177,1.2
N1,1002378,link,,Box culvert / Box culvert,21.0838608,92.2161111,136.39999999998054
N1,1002379,link,,Km post missing,21.0811104,92.2169438,86.50000000005775
N1,1002380,bridge,A,KHANCHOR PARA (2),21.0804429857142,92.2174040714285,1.0
N1,1002381,link,,Km post missing,21.0811104,92.2169438,17.499999999984084
N1,1002382,link,,Box culvert,21.0803049,92.2174993,142.50000000004093
N1,1002383,bridge,A,KHANCHOR PARA- BOX CULVERT,21.079224345977,92.2181232950191,1.0
N1,1002384,link,,Box culvert,21.0803049,92.2174993,117.50000000000682
N1,1002385,link,,Box culvert,21.0783327,92.2186382,58.99999999996908
N1,1002386,link,,Box culvert,21.077916,92.2189993,119.50000000001637
N1,1002387,bridge,A,NOYA PARA (1) BOX CULVERT,21.077282565,92.2199300692307,3.0
N1,1002388,link,,Box culvert,21.077916,92.2189993,137.4999999999318
N1,1002389,link,,Box culvert,21.0765549,92.2209993,103.95000000005439
N1,1002390,bridge,C,NOYA PARA (1) BRIDGE,21.0757171602316,92.2214353972973,6.1
N1,1002391,link,,Box culvert,21.0765549,92.2209993,148.95000000001346
N1,1002392,link,,Box culvert,21.0745271,92.2220549,48.09999999997672
N1,1002393,bridge,A,NAYAPARA,21.0741777849315,92.2222489445205,5.8
N1,1002394,link,,Box culvert,21.0745271,92.2220549,92.10000000001628
N1,1002395,link,,Info.Missing,21.0735271,92.2226104,110.00000000001364
N1,1002396,link,,Box culvert,21.0728327,92.2232216,52.349999999989905
N1,1002397,bridge,A,NOYA PARA,21.0724929467032,92.2235128087912,1.3
N1,1002398,link,,Box culvert,21.0728327,92.2232216,128.3499999999549
N1,1002399,link,,Box culvert,21.071666,92.2242216,50.09999999998627
N1,1002400,bridge,B,GIMON KHALI BRIDGE,21.071231875641,92.2242923685897,5.8
N1,1002401,link,,Box culvert,21.071666,92.2242216,200.35000000001446
N1,1002402,bridge,C,GIM - MOGARI BRIDGE,21.0695363333333,92.2245687666666,7.5
N1,1002403,bridge,C,Gim-mogari Bridge,21.0695363333333,92.2245687666666,7.5
N1,1002404,link,,Box culvert,21.071666,92.2242216,48.249999999939064
N1,1002405,link,,Box culvert,21.0691104,92.2246382,250.0
N1,1002406,link,,Box culvert,21.0668882,92.2246104,146.000000000015
N1,1002407,link,,Km post missing,21.0655833,92.2245549,77.99999999997453
N1,1002408,link,,Box culvert,21.0650556,92.2245271,1.3999999999896318
N1,1002409,bridge,A,NINA BAZAR BOX CULVERT,21.0650398482758,92.2245345498084,1.2
N1,1002410,link,,Box culvert,21.0650556,92.2245271,258.39999999999463
N1,1002411,link,,Box culvert,21.063,92.2254993,187.99999999998818
N1,1002412,link,,Box culvert,21.0615556,92.2262771,177.54999999999654
N1,1002413,bridge,B,NOYA BAZAR BRIDGE,21.0598736617647,92.2263822093137,30.9
N1,1002414,bridge,C,Noya Bazar(1) Bridge,21.0598736617647,92.2263822093137,30.9
N1,1002415,link,,Bridge start,21.0597778,92.2263882,10.550000000023374
N1,1002416,link,,Bridge end,21.0596667,92.2263882,185.40000000001555
N1,1002417,bridge,C,NOYA BAZAR CULVERT,21.0579897631578,92.226509045614,1.2
N1,1002418,link,,Bridge end,21.0596667,92.2263882,155.39999999992915
N1,1002419,link,,Info.Missing,21.0565833,92.2266104,28.300000000001546
N1,1002420,bridge,B,NAYA BAZAR BRIDGE,21.0562943527173,92.2266452831521,9.4
N1,1002421,bridge,D,Naya Bazar(2) Bridge,21.0562943527173,92.2266452831521,9.4
N1,1002422,link,,Info.Missing,21.0565833,92.2266104,146.29999999999654
N1,1002423,link,,Box culvert,21.0549722,92.2268049,117.09999999999354
N1,1002424,bridge,C,Naya Bazar(3) Bridge,21.0542867597222,92.2274586981481,11.8
N1,1002425,bridge,B,NAYA BAZAR BRIDGE,21.0542867597222,92.2274586981481,11.8
N1,1002426,link,,Box culvert,21.0549722,92.2268049,413.70000000000573
N1,1002427,bridge,C,KHARANG KHALI - BOX CUVERT (1),21.0519406592592,92.2296964950617,2.8
N1,1002428,link,,Box culvert,21.0549722,92.2268049,102.6000000000522
N1,1002429,link,,Bridge start,21.0513611,92.2302493,37.99999999995407
N1,1002430,link,,Bridge end,21.0513611,92.2305827,125.0
N1,1002431,link,,Teknaf 24 km,21.0513056,92.2317493,64.00000000002137
N1,1002432,link,,Box culvert,21.0512778,92.2323327,145.3999999999951
N1,1002433,bridge,C,KHARANG KHAIL,21.0508486063492,92.233513137037,1.2
N1,1002434,link,,Box culvert,21.0512778,92.2323327,42.39999999998645
N1,1002435,link,,Box culvert,21.0507222,92.2338608,327.99999999997453
N1,1002436,link,,Box culvert,21.0479441,92.2346386,158.1499999999778
N1,1002437,bridge,C,MOULIVI BAZAR FISHARI BRIDGE,21.0464598480314,92.23512063937,31.7
N1,1002438,link,,Box culvert,21.0479441,92.2346386,191.1500000000501
N1,1002439,link,,Box culvert,21.0446941,92.2356941,86.99999999998909
N1,1002440,link,,Teknaf 23 km,21.0439163,92.2359441,206.39999999997372
N1,1002441,bridge,C,MOULOVI BAZAR BOX CULVERT (1),21.0422652012594,92.2367552062972,1.2
N1,1002442,link,,Teknaf 23 km,21.0439163,92.2359441,189.3999999999778
N1,1002443,link,,Box culvert,21.0407497,92.2374997,37.399999999990996
N1,1002444,bridge,C,MOULOVI BAZAR BOX CULVERT,21.0404408514814,92.2376541207407,1.2
N1,1002445,link,,Box culvert,21.0407497,92.2374997,340.2999999999565
N1,1002446,bridge,A,ALI AXBAR PARA BOX CULVERT,21.0376449596296,92.2390520348148,6.2
N1,1002447,link,,Box culvert,21.0407497,92.2374997,154.89999999999782
N1,1002448,link,,Bridge start,21.0363608,92.2396941,40.99999999999682
N1,1002449,link,,Bridge end,21.0360552,92.2398608,233.949999999993
N1,1002450,bridge,C,Nila-Hoab Rabg Bridge,21.0340308457564,92.2407063719557,32.1
N1,1002451,bridge,B,NILA - HOAB RABG BRIDGE,21.0340308457564,92.2407063719557,32.1
N1,1002452,link,,Bridge end,21.0360552,92.2398608,4.94999999995116
N1,1002453,link,,Teknaf 21 km,21.0338608,92.2407774,203.00000000003138
N1,1002454,link,,Box culvert,21.0321104,92.241083,233.0000000000041
N1,1002455,link,,Box culvert,21.0300549,92.2413608,236.7999999999597
N1,1002456,bridge,A,NILLA BOX CULVERT (1),21.0279544680791,92.2415858245762,4.4
N1,1002457,link,,Box culvert,21.0300549,92.2413608,112.7999999999929
N1,1002458,link,,Box culvert,21.0269438,92.2416941,136.54999999999973
N1,1002459,bridge,A,NILA. BARAR BOX CULVERT,21.0256598717703,92.2418041698564,2.9
N1,1002460,link,,Box culvert,21.0269438,92.2416941,69.5500000000493
N1,1002461,link,,Km post missing,21.0249993,92.2418608,243.99999999997135
N1,1002462,link,,Bridge start,21.0228882,92.2420274,35.00000000002501
N1,1002463,link,,Bridge end,21.0226104,92.2420552,337.600000000009
N1,1002464,bridge,A,NILA - DORGA- PARA-(1) BOX,21.0198087471074,92.2428140276859,2.8
